,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
49666,61,36,119,0,5320,0,1,A,Bedford town,New York,17335,17335,17371,17476,17567,17815,17790,17886,17906
49685,61,36,119,0,42136,0,1,A,Lewisboro town,New York,12411,12411,12429,12510,12551,12636,12699,12742,12766
49699,61,36,119,0,50078,0,1,A,New Castle town,New York,17569,17547,17575,17721,17775,17905,17947,18001,18100
49702,61,36,119,0,51693,0,1,A,North Castle town,New York,11841,11860,11885,11974,12037,12155,12200,12259,12330
49703,61,36,119,0,53517,0,1,A,North Salem town,New York,5104,5104,5115,5140,5145,5172,5179,5187,5186
49713,61,36,119,0,59685,0,1,A,Pound Ridge town,New York,5104,5104,5113,5153,5171,5203,5218,5229,5233
49722,61,36,119,0,68308,0,1,A,Somers town,New York,20434,20416,20459,20768,20826,20969,21213,21296,21345
49727,61,36,119,0,84077,0,1,A,Yorktown town,New York,36081,36081,36135,36367,36478,36756,36837,36961,36996
