,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
49636,157,36,119,2506,0,0,0,A,Ardsley village,New York,4452,4454,4462,4496,4509,4540,4548,4620,4634
49637,157,36,119,8103,0,0,0,A,Briarcliff Manor village,New York,7867,7836,7840,7914,7918,7938,7978,8020,8032
49638,157,36,119,8532,0,0,0,A,Bronxville village,New York,6323,6323,6329,6362,6369,6401,6407,6415,6407
49639,157,36,119,10341,0,0,0,A,Buchanan village,New York,2230,2224,2226,2238,2242,2255,2258,2261,2265
49640,157,36,119,19213,0,0,0,A,Croton-on-Hudson village,New York,8070,8070,8079,8131,8143,8198,8213,8234,8243
49641,157,36,119,20698,0,0,0,A,Dobbs Ferry village,New York,10875,10875,10889,10950,10977,11043,11076,11093,11093
49642,157,36,119,24295,0,0,0,A,Elmsford village,New York,4664,4660,4669,4701,4737,4750,4763,4788,5012
49643,157,36,119,32402,0,0,0,A,Harrison village,New York,27472,27471,27515,27671,27805,27952,28145,28259,28340
49644,157,36,119,32710,0,0,0,A,Hastings-on-Hudson village,New York,7849,7849,7864,7900,7901,7961,7977,7975,7969
49645,157,36,119,37803,0,0,0,A,Irvington village,New York,6420,6420,6429,6472,6501,6546,6567,6583,6587
49646,157,36,119,41333,0,0,0,A,Larchmont village,New York,5864,5864,5870,5899,5910,5949,6096,6107,6118
49647,157,36,119,44831,0,0,0,A,Mamaroneck village,New York,18929,18930,18954,19066,19101,19224,19258,19306,19356
49648,157,36,119,48890,0,0,0,A,Mount Kisco village,New York,10877,10877,10892,10960,10985,11060,11081,11104,11103
49649,157,36,119,49121,0,0,0,A,Mount Vernon city,New York,67292,67290,67376,67758,67871,68224,68302,68388,68344
49650,157,36,119,50617,0,0,0,A,New Rochelle city,New York,77062,77061,77184,77697,78358,79383,79469,79570,79557
49651,157,36,119,55530,0,0,0,A,Ossining village,New York,25060,25069,25068,25239,25188,25261,25328,25369,25360
49652,157,36,119,56979,0,0,0,A,Peekskill city,New York,23583,23583,23617,23763,23812,23969,24009,24045,24053
49653,157,36,119,57001,0,0,0,A,Pelham village,New York,6910,6910,6917,6955,6964,7001,7011,7022,7020
49654,157,36,119,57023,0,0,0,A,Pelham Manor village,New York,5486,5486,5493,5529,5535,5565,5571,5573,5565
49655,157,36,119,58728,0,0,0,A,Pleasantville village,New York,7019,7007,7017,7065,7077,7122,7139,7148,7150
49656,157,36,119,59223,0,0,0,A,Port Chester village,New York,28967,28946,28980,29157,29207,29380,29443,29503,29524
49657,157,36,119,64309,0,0,0,A,Rye city,New York,15720,15720,15739,15830,15856,15947,15970,15990,15980
49658,157,36,119,64325,0,0,0,A,Rye Brook village,New York,9347,9347,9378,9419,9443,9493,9519,9558,9575
49659,157,36,119,65431,0,0,0,A,Scarsdale village,New York,17166,17166,17195,17342,17455,17596,17694,17819,17909
49660,157,36,119,67638,0,0,0,A,Sleepy Hollow village,New York,9870,9870,9884,9945,9960,10016,10190,10202,10198
49661,157,36,119,73176,0,0,0,A,Tarrytown village,New York,11277,11248,11266,11339,11375,11444,11485,11518,11532
49662,157,36,119,75583,0,0,0,A,Tuckahoe village,New York,6486,6485,6493,6531,6549,6587,6610,6619,6615
49663,157,36,119,81677,0,0,0,A,White Plains city,New York,56853,56853,56942,57227,57338,57812,57920,58248,58241
49664,157,36,119,84000,0,0,0,A,Yonkers city,New York,195976,195979,196386,197720,198290,199266,199932,200367,200807
49665,157,36,119,99990,0,0,0,S,Balance of Westchester County,New York,263147,263197,263635,265776,267697,269494,270296,271196,271953
