GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US05017,05017,"Chicot County, Arkansas",11800
0500000US05019,05019,"Clark County, Arkansas",22995
0500000US05021,05021,"Clay County, Arkansas",16083
0500000US05023,05023,"Cleburne County, Arkansas",25970
0500000US05025,05025,"Cleveland County, Arkansas",8689
0500000US05027,05027,"Columbia County, Arkansas",24552
0500000US05029,05029,"Conway County, Arkansas",21273
0500000US05031,05031,"Craighead County, Arkansas",96443
0500000US05033,05033,"Crawford County, Arkansas",61948
0500000US05035,05035,"Crittenden County, Arkansas",50902
0500000US05037,05037,"Cross County, Arkansas",17870
0500000US05039,05039,"Dallas County, Arkansas",8116
0500000US05041,05041,"Desha County, Arkansas",13008
0500000US05043,05043,"Drew County, Arkansas",18509
0500000US05045,05045,"Faulkner County, Arkansas",113237
0500000US05047,05047,"Franklin County, Arkansas",18125
0500000US05049,05049,"Fulton County, Arkansas",12245
0500000US05051,05051,"Garland County, Arkansas",96024
0500000US05053,05053,"Grant County, Arkansas",17853
0500000US05055,05055,"Greene County, Arkansas",42090
0500000US05057,05057,"Hempstead County, Arkansas",22609
0500000US05059,05059,"Hot Spring County, Arkansas",32923
0500000US05061,05061,"Howard County, Arkansas",13789
0500000US05063,05063,"Independence County, Arkansas",36647
0500000US05065,05065,"Izard County, Arkansas",13696
0500000US05067,05067,"Jackson County, Arkansas",17997
0500000US05069,05069,"Jefferson County, Arkansas",77435
0500000US05071,05071,"Johnson County, Arkansas",25540
0500000US05073,05073,"Lafayette County, Arkansas",7645
0500000US05075,05075,"Lawrence County, Arkansas",17415
0500000US05077,05077,"Lee County, Arkansas",10424
0500000US05079,05079,"Lincoln County, Arkansas",14134
0500000US05081,05081,"Little River County, Arkansas",13171
0500000US05083,05083,"Logan County, Arkansas",22353
0500000US05085,05085,"Lonoke County, Arkansas",68356
0500000US05087,05087,"Madison County, Arkansas",15717
0500000US05089,05089,"Marion County, Arkansas",16653
0500000US05091,05091,"Miller County, Arkansas",43462
0500000US05093,05093,"Mississippi County, Arkansas",46480
0500000US05095,05095,"Monroe County, Arkansas",8149
0500000US05097,05097,"Montgomery County, Arkansas",9487
0500000US05099,05099,"Nevada County, Arkansas",8997
0500000US05101,05101,"Newton County, Arkansas",8330
0500000US05103,05103,"Ouachita County, Arkansas",26120(r36702)
0500000US05105,05105,"Perry County, Arkansas",10445
0500000US05107,05107,"Phillips County, Arkansas",21757
0500000US05109,05109,"Pike County, Arkansas",11291
0500000US05111,05111,"Poinsett County, Arkansas",24583
0500000US05113,05113,"Polk County, Arkansas",20662
0500000US05115,05115,"Pope County, Arkansas",61754
0500000US05117,05117,"Prairie County, Arkansas",8715
0500000US05119,05119,"Pulaski County, Arkansas",382748
0500000US05121,05121,"Randolph County, Arkansas",17969
0500000US05123,05123,"St. Francis County, Arkansas",28258
0500000US05125,05125,"Saline County, Arkansas",107118
0500000US05127,05127,"Scott County, Arkansas",11233
0500000US05129,05129,"Searcy County, Arkansas",8195
0500000US05131,05131,"Sebastian County, Arkansas",125744
0500000US05133,05133,"Sevier County, Arkansas",17058
0500000US05135,05135,"Sharp County, Arkansas",17264
0500000US05137,05137,"Stone County, Arkansas",12394
0500000US05139,05139,"Union County, Arkansas",41639
0500000US05141,05141,"Van Buren County, Arkansas",17295
0500000US05143,05143,"Washington County, Arkansas",203065
0500000US05145,05145,"White County, Arkansas",77076
0500000US05147,05147,"Woodruff County, Arkansas",7260
0500000US05149,05149,"Yell County, Arkansas",22185
0500000US06001,06001,"Alameda County, California",1510271
0500000US06003,06003,"Alpine County, California",1175
0500000US06005,06005,"Amador County, California",38091
0500000US06007,06007,"Butte County, California",220000
0500000US06009,06009,"Calaveras County, California",45578
0500000US06011,06011,"Colusa County, California",21419
0500000US06013,06013,"Contra Costa County, California",1049025
0500000US06015,06015,"Del Norte County, California",28610
0500000US06017,06017,"El Dorado County, California",181058
0500000US06019,06019,"Fresno County, California",930450
0500000US06021,06021,"Glenn County, California",28122
0500000US06023,06023,"Humboldt County, California",134623
0500000US06025,06025,"Imperial County, California",174528
0500000US06027,06027,"Inyo County, California",18546
0500000US06029,06029,"Kern County, California",839631
0500000US06031,06031,"Kings County, California",152982
0500000US06033,06033,"Lake County, California",64665
0500000US06035,06035,"Lassen County, California",34895
0500000US06037,06037,"Los Angeles County, California",9818605
0500000US06039,06039,"Madera County, California",150865
0500000US06041,06041,"Marin County, California",252409
0500000US06043,06043,"Mariposa County, California",18251
0500000US06045,06045,"Mendocino County, California",87841
0500000US06047,06047,"Merced County, California",255793
0500000US06049,06049,"Modoc County, California",9686
0500000US06051,06051,"Mono County, California",14202
0500000US06053,06053,"Monterey County, California",415057
0500000US06055,06055,"Napa County, California",136484
0500000US06057,06057,"Nevada County, California",98764
0500000US06059,06059,"Orange County, California",3010232
0500000US06061,06061,"Placer County, California",348432
0500000US06063,06063,"Plumas County, California",20007
0500000US06065,06065,"Riverside County, California",2189641
0500000US06067,06067,"Sacramento County, California",1418788
0500000US06069,06069,"San Benito County, California",55269
0500000US06071,06071,"San Bernardino County, California",2035210
0500000US06073,06073,"San Diego County, California",3095313
0500000US06075,06075,"San Francisco County, California",805235
0500000US06077,06077,"San Joaquin County, California",685306
0500000US06079,06079,"San Luis Obispo County, California",269637
0500000US06081,06081,"San Mateo County, California",718451
0500000US06083,06083,"Santa Barbara County, California",423895
0500000US06085,06085,"Santa Clara County, California",1781642
0500000US06087,06087,"Santa Cruz County, California",262382
0500000US06089,06089,"Shasta County, California",177223
0500000US06091,06091,"Sierra County, California",3240
0500000US06093,06093,"Siskiyou County, California",44900
0500000US06095,06095,"Solano County, California",413344
0500000US06097,06097,"Sonoma County, California",483878
0500000US06099,06099,"Stanislaus County, California",514453
0500000US06101,06101,"Sutter County, California",94737
0500000US06103,06103,"Tehama County, California",63463
0500000US06105,06105,"Trinity County, California",13786
0500000US06107,06107,"Tulare County, California",442179
0500000US06109,06109,"Tuolumne County, California",55365
0500000US06111,06111,"Ventura County, California",823318
0500000US06113,06113,"Yolo County, California",200849
0500000US06115,06115,"Yuba County, California",72155
0500000US08001,08001,"Adams County, Colorado",441603
0500000US08003,08003,"Alamosa County, Colorado",15445
0500000US08005,08005,"Arapahoe County, Colorado",572003
0500000US08007,08007,"Archuleta County, Colorado",12084
0500000US08009,08009,"Baca County, Colorado",3788
0500000US08011,08011,"Bent County, Colorado",6499
0500000US08013,08013,"Boulder County, Colorado",294567
0500000US08014,08014,"Broomfield County, Colorado",55889
0500000US08015,08015,"Chaffee County, Colorado",17809
0500000US08017,08017,"Cheyenne County, Colorado",1836
0500000US08019,08019,"Clear Creek County, Colorado",9088
0500000US08021,08021,"Conejos County, Colorado",8256
0500000US08023,08023,"Costilla County, Colorado",3524
0500000US08025,08025,"Crowley County, Colorado",5823
0500000US08027,08027,"Custer County, Colorado",4255
0500000US08029,08029,"Delta County, Colorado",30952
0500000US08031,08031,"Denver County, Colorado",600158
0500000US08033,08033,"Dolores County, Colorado",2064
0500000US08035,08035,"Douglas County, Colorado",285465
0500000US08037,08037,"Eagle County, Colorado",52197
0500000US08039,08039,"Elbert County, Colorado",23086
0500000US08041,08041,"El Paso County, Colorado",622263
0500000US08043,08043,"Fremont County, Colorado",46824
0500000US08045,08045,"Garfield County, Colorado",56389
0500000US08047,08047,"Gilpin County, Colorado",5441
0500000US08049,08049,"Grand County, Colorado",14843
0500000US08051,08051,"Gunnison County, Colorado",15324
0500000US08053,08053,"Hinsdale County, Colorado",843
0500000US08055,08055,"Huerfano County, Colorado",6711
0500000US08057,08057,"Jackson County, Colorado",1394
0500000US08059,08059,"Jefferson County, Colorado",534543
0500000US08061,08061,"Kiowa County, Colorado",1398
0500000US08063,08063,"Kit Carson County, Colorado",8270
0500000US08065,08065,"Lake County, Colorado",7310
0500000US08067,08067,"La Plata County, Colorado",51334
0500000US08069,08069,"Larimer County, Colorado",299630
0500000US08071,08071,"Las Animas County, Colorado",15507
0500000US08073,08073,"Lincoln County, Colorado",5467
0500000US08075,08075,"Logan County, Colorado",22709
0500000US08077,08077,"Mesa County, Colorado",146723
0500000US08079,08079,"Mineral County, Colorado",712
0500000US08081,08081,"Moffat County, Colorado",13795
0500000US08083,08083,"Montezuma County, Colorado",25535
0500000US08085,08085,"Montrose County, Colorado",41276
0500000US08087,08087,"Morgan County, Colorado",28159
0500000US08089,08089,"Otero County, Colorado",18831
0500000US08091,08091,"Ouray County, Colorado",4436
0500000US08093,08093,"Park County, Colorado",16206
0500000US08095,08095,"Phillips County, Colorado",4442
0500000US08097,08097,"Pitkin County, Colorado",17148
0500000US08099,08099,"Prowers County, Colorado",12551
0500000US08101,08101,"Pueblo County, Colorado",159063
0500000US08103,08103,"Rio Blanco County, Colorado",6666
0500000US08105,08105,"Rio Grande County, Colorado",11982
0500000US08107,08107,"Routt County, Colorado",23509
0500000US08109,08109,"Saguache County, Colorado",6108
