GEOID,Name,state_new,,,,,
05000US05009,"Boone County, Arkansas",OZ,,,,,
05000US05011,"Bradley County, Arkansas",OZ,,,,,
05000US05013,"Calhoun County, Arkansas",OZ,,,,,
05000US05015,"Carroll County, Arkansas",OZ,,,,,
05000US05017,"Chicot County, Arkansas",BR,,,,,
05000US05019,"Clark County, Arkansas",OZ,,,,,
05000US05021,"Clay County, Arkansas",BR,,,,,
05000US05023,"Cleburne County, Arkansas",OZ,,,,,
05000US05025,"Cleveland County, Arkansas",OZ,,,,,
05000US05027,"Columbia County, Arkansas",OZ,,,,,
05000US05029,"Conway County, Arkansas",OZ,,,,,
05000US05031,"Craighead County, Arkansas",BR,,,,,
05000US05033,"Crawford County, Arkansas",RR,,,,,
05000US05035,"Crittenden County, Arkansas",BR,,,,,
05000US05037,"Cross County, Arkansas",BR,,,,,
05000US05039,"Dallas County, Arkansas",OZ,,,,,
05000US05041,"Desha County, Arkansas",BR,,,,,
05000US05043,"Drew County, Arkansas",OZ,,,,,
05000US05045,"Faulkner County, Arkansas",OZ,,,,,
05000US05047,"Franklin County, Arkansas",RR,,,,,
05000US05049,"Fulton County, Arkansas",OZ,,,,,
05000US05051,"Garland County, Arkansas",OZ,,,,,
05000US05053,"Grant County, Arkansas",OZ,,,,,
05000US05055,"Greene County, Arkansas",BR,,,,,
05000US05057,"Hempstead County, Arkansas",RR,,,,,
05000US05059,"Hot Spring County, Arkansas",OZ,,,,,
05000US05061,"Howard County, Arkansas",RR,,,,,
05000US05063,"Independence County, Arkansas",OZ,,,,,
05000US05065,"Izard County, Arkansas",OZ,,,,,
05000US05067,"Jackson County, Arkansas",OZ,,,,,
05000US05069,"Jefferson County, Arkansas",OZ,,,,,
05000US05071,"Johnson County, Arkansas",RR,,,,,
05000US05073,"Lafayette County, Arkansas",RR,,,,,
05000US05075,"Lawrence County, Arkansas",OZ,,,,,
05000US05077,"Lee County, Arkansas",BR,,,,,
05000US05079,"Lincoln County, Arkansas",OZ,,,,,
05000US05081,"Little River County, Arkansas",RR,,,,,
05000US05083,"Logan County, Arkansas",RR,,,,,
05000US05085,"Lonoke County, Arkansas",OZ,,,,,
05000US05087,"Madison County, Arkansas",RR,,,,,
05000US05089,"Marion County, Arkansas",OZ,,,,,
05000US05091,"Miller County, Arkansas",RR,,,,,
05000US05093,"Mississippi County, Arkansas",BR,,,,,
05000US05095,"Monroe County, Arkansas",BR,,,,,
05000US05097,"Montgomery County, Arkansas",OZ,,,,,
05000US05099,"Nevada County, Arkansas",OZ,,,,,
05000US05101,"Newton County, Arkansas",OZ,,,,,
05000US05103,"Ouachita County, Arkansas",OZ,,,,,
05000US05105,"Perry County, Arkansas",OZ,,,,,
05000US05107,"Phillips County, Arkansas",BR,,,,,
05000US05109,"Pike County, Arkansas",RR,,,,,
05000US05111,"Poinsett County, Arkansas",BR,,,,,
05000US05113,"Polk County, Arkansas",RR,,,,,
05000US05115,"Pope County, Arkansas",OZ,,,,,
05000US05117,"Prairie County, Arkansas",OZ,,,,,
05000US05119,"Pulaski County, Arkansas",OZ,,,,,
05000US05121,"Randolph County, Arkansas",OZ,,,,,
05000US05123,"St. Francis County, Arkansas",BR,,,,,
05000US05125,"Saline County, Arkansas",OZ,,,,,
05000US05127,"Scott County, Arkansas",RR,,,,,
05000US05129,"Searcy County, Arkansas",OZ,,,,,
05000US05131,"Sebastian County, Arkansas",RR,,,,,
05000US05133,"Sevier County, Arkansas",RR,,,,,
05000US05135,"Sharp County, Arkansas",OZ,,,,,
05000US05137,"Stone County, Arkansas",OZ,,,,,
05000US05139,"Union County, Arkansas",OZ,,,,,
05000US05141,"Van Buren County, Arkansas",OZ,,,,,
05000US05143,"Washington County, Arkansas",RR,,,,,
05000US05145,"White County, Arkansas",OZ,,,,,
05000US05147,"Woodruff County, Arkansas",OZ,,,,,
05000US05149,"Yell County, Arkansas",OZ,,,,,
05000US06001,"Alameda County, California",GC,,,,,
05000US06003,"Alpine County, California",DS,,,,,
05000US06005,"Amador County, California",RW,,,,,
05000US06007,"Butte County, California",RW,,,,,
05000US06009,"Calaveras County, California",RW,,,,,
05000US06011,"Colusa County, California",RW,,,,,
05000US06013,"Contra Costa County, California",CC,,,,,
05000US06015,"Del Norte County, California",RW,,,,,
05000US06017,"El Dorado County, California",RW,,,,,
05000US06019,"Fresno County, California",CC,,,,,
05000US06021,"Glenn County, California",RW,,,,,
05000US06023,"Humboldt County, California",RW,,,,,
05000US06025,"Imperial County, California",HG,,,,,
05000US06027,"Inyo County, California",CC,,,,,
05000US06029,"Kern County, California",SO,,,,,
05000US06031,"Kings County, California",SO,,,,,
05000US06033,"Lake County, California",RW,,,,,
05000US06035,"Lassen County, California",DS,,,,,
05000US06037,"Los Angeles County, California",XXXXX,,,,,
05000US06039,"Madera County, California",CC,,,,,
05000US06041,"Marin County, California",GC,,,,,
05000US06043,"Mariposa County, California",CC,,,,,
05000US06045,"Mendocino County, California",RW,,,,,
05000US06047,"Merced County, California",CC,,,,,
05000US06049,"Modoc County, California",DS,,,,,
05000US06051,"Mono County, California",DS,,,,,
05000US06053,"Monterey County, California",GC,,,,,
05000US06055,"Napa County, California",CC,,,,,
05000US06057,"Nevada County, California",DS,,,,,
05000US06059,"Orange County, California",XXXXX,,,,,
05000US06061,"Placer County, California",RW,,,,,
05000US06063,"Plumas County, California",DS,,,,,
05000US06065,"Riverside County, California",XXXXX,,,,,
05000US06067,"Sacramento County, California",CC,,,,,
05000US06069,"San Benito County, California",CC,,,,,
05000US06071,"San Bernardino County, California",XXXXX,,,,,
05000US06073,"San Diego County, California",CE,,,,,
05000US06075,"San Francisco County, California",GC,,,,,
