,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
45071,71,34,5,5740,5740,0,1,A,Beverly city,New Jersey,2577,2551,2553,2550,2559,2546,2541,2528,2513
45073,71,34,5,6670,6670,0,1,A,Bordentown city,New Jersey,3924,3917,3922,3914,3918,3898,3893,3868,3851
45076,71,34,5,8920,8920,0,1,A,Burlington city,New Jersey,9920,9932,9938,9920,9919,9877,9847,9801,9866
45086,71,34,5,23250,23250,0,1,A,Fieldsboro borough,New Jersey,540,545,543,542,540,537,538,536,533
45094,71,34,5,45210,45210,0,1,A,Medford Lakes borough,New Jersey,4146,4142,4145,4136,4134,4113,4095,4074,4053
45101,71,34,5,55800,55800,0,1,A,Palmyra borough,New Jersey,7398,7381,7386,7379,7371,7332,7321,7283,7241
45103,71,34,5,57480,57480,0,1,A,Pemberton borough,New Jersey,1409,1401,1402,1396,1389,1382,1380,1373,1362
45107,71,34,5,63660,63660,0,1,A,Riverton borough,New Jersey,2779,2764,2766,2759,2762,2749,2742,2728,2713
45117,71,34,5,82960,82960,0,1,A,Wrightstown borough,New Jersey,802,804,805,804,803,802,800,796,787
