,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
45069,61,34,5,0,3370,0,1,A,Bass River township,New Jersey,1443,1445,1446,1445,1444,1444,1444,1446,1443
45074,61,34,5,0,6700,0,1,A,Bordentown township,New Jersey,11367,11380,11397,11427,11441,11432,11630,11926,12095
45077,61,34,5,0,8950,0,1,A,Burlington township,New Jersey,22594,22575,22600,22586,22573,22584,22611,22760,22747
45078,61,34,5,0,12670,0,1,A,Chesterfield township,New Jersey,7699,7668,7732,7783,7646,7756,7680,7546,7490
45079,61,34,5,0,12940,0,1,A,Cinnaminson township,New Jersey,15569,15559,15588,15920,16376,16473,16600,16609,16532
45080,61,34,5,0,17080,0,1,A,Delanco township,New Jersey,4283,4269,4283,4517,4512,4540,4539,4518,4491
45081,61,34,5,0,17440,0,1,A,Delran township,New Jersey,16896,16925,16939,16944,16933,16854,16849,16763,16656
45082,61,34,5,0,18790,0,1,A,Eastampton township,New Jersey,6069,6078,6049,6051,6058,6048,6039,6009,5974
45083,61,34,5,0,20050,0,1,A,Edgewater Park township,New Jersey,8881,8908,8914,8906,8901,8859,8843,8797,8753
45084,61,34,5,0,22110,0,1,A,Evesham township,New Jersey,45538,45544,45576,45770,45784,45618,45637,45503,45351
45087,61,34,5,0,23850,0,1,A,Florence township,New Jersey,12109,12122,12132,12383,12611,12603,12656,12676,12664
45088,61,34,5,0,29010,0,1,A,Hainesport township,New Jersey,6110,6129,6136,6143,6143,6110,6099,6060,6075
45089,61,34,5,0,42060,0,1,A,Lumberton township,New Jersey,12559,12549,12560,12546,12536,12479,12456,12394,12325
45090,61,34,5,0,43290,0,1,A,Mansfield township,New Jersey,8544,8568,8578,8593,8612,8593,8597,8581,8591
45091,61,34,5,0,43740,0,1,A,Maple Shade township,New Jersey,19131,19153,19167,19150,19145,19059,19032,18949,18849
45092,61,34,5,0,45120,0,1,A,Medford township,New Jersey,23033,23018,23067,23123,23228,23199,23295,23354,23440
45095,61,34,5,0,47880,0,1,A,Moorestown township,New Jersey,20726,20745,20753,20727,20730,20633,20594,20544,20565
45096,61,34,5,0,48900,0,1,A,Mount Holly township,New Jersey,9536,9548,9554,9471,9394,9343,9412,9486,9526
45097,61,34,5,0,49020,0,1,A,Mount Laurel township,New Jersey,41864,41848,41898,41883,41874,41722,41940,41961,41738
45098,61,34,5,0,51510,0,1,A,New Hanover township,New Jersey,7385,7385,7420,7821,7949,7923,8719,8135,8129
45099,61,34,5,0,53070,0,1,A,North Hanover township,New Jersey,7678,7691,7698,7696,7694,7660,7646,7607,7581
45104,61,34,5,0,57510,0,1,A,Pemberton township,New Jersey,27912,27916,27939,27948,27960,27889,27842,27720,27567
45105,61,34,5,0,63510,0,1,A,Riverside township,New Jersey,8079,8064,8069,8059,8058,8023,8008,7967,7921
45108,61,34,5,0,66810,0,1,A,Shamong township,New Jersey,6490,6525,6538,6547,6542,6502,6491,6469,6453
45109,61,34,5,0,68610,0,1,A,Southampton township,New Jersey,10464,10435,10442,10424,10407,10356,10341,10288,10235
45110,61,34,5,0,69990,0,1,A,Springfield township,New Jersey,3414,3399,3401,3398,3396,3377,3365,3334,3315
45111,61,34,5,0,72060,0,1,A,Tabernacle township,New Jersey,6949,6964,6977,6996,7001,6964,6959,6926,6892
45112,61,34,5,0,77150,0,1,A,Washington township,New Jersey,687,687,685,687,683,683,673,672,695
45113,61,34,5,0,78200,0,1,A,Westampton township,New Jersey,8813,8809,8817,8809,8808,8764,8750,8705,8781
45114,61,34,5,0,81440,0,1,A,Willingboro township,New Jersey,31629,31615,31639,31613,31603,31428,31364,31200,31713
45115,61,34,5,0,82420,0,1,A,Woodland township,New Jersey,1788,1780,1784,1789,1789,1785,1786,1783,1778
