31200US105803601000,"Albany city, NY; Albany-Schenectady-Troy, NY Metro Area"
31200US105803665508,"Schenectady city, NY; Albany-Schenectady-Troy, NY Metro Area"
31200US153803611000,"Buffalo city, NY; Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
31200US153803615000,"Cheektowaga CDP, NY; Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
31200US356203651000,"New York city, NY; New York-Newark-Jersey City, NY-NJ-PA Metro Area"
31200US403803663000,"Rochester city, NY; Rochester, NY Metro Area"
31200US450603673000,"Syracuse city, NY; Syracuse, NY Metro Area"
